SAMPLES:3(hide)

Sample	Density	Note
Mali 1987	10.0%	
Mali 1998	10.0%	
Mali 2009	10.0%	
VARIABLES:31(hide)

Type	Variable	Label
H	COUNTRY	Country
H	YEAR	Year
H	SAMPLE	IPUMS sample identifier
H	SERIAL	Household serial number
H	HHWT	Household weight
H	GEO2_ML1987	Mali, Circle 1987 [Level 2, GIS]
H	GEO2_ML1998	Mali, Circle 1998 [Level 2, GIS]
H	GEO2_ML2009	Mali, Circle 2009 [Level 2, GIS]
H	OWNERSHIP (general)	Ownership of dwelling [general version]
H	OWNERSHIPD (detailed)	Ownership of dwelling [detailed version]
H	ELECTRIC	Electricity
H	WATSUP	Water supply
H	SEWAGE	Sewage
H	FUELCOOK	Cooking fuel
H	TRASH	Trash disposal
H	ROOMS	Number of rooms
H	TOILET	Toilet
H	FLOOR	Floor material
H	WALL	Wall or building material
H	ROOF	Roof material
H	HHTYPE	Household classification
H	NFAMS	Number of families in household
P	PERNUM	Person number
P	PERWT	Person weight
P	RESIDENT	Residence status: de facto, de jure
P	LIT	Literacy
P	EDATTAIN (general)	Educational attainment, international recode [general version]
P	EDATTAIND (detailed)	Educational attainment, international recode [detailed version]
P	YRSCHOOL	Years of schooling
P	EMPSTAT (general)	Activity status (employment status) [general version]
P	EMPSTATD (detailed)	Activity status (employment status) [detailed version]
DATA FORMAT:.dat (fixed-width text) 

STRUCTURE:Rectangular (person) 

ESTIMATED SIZE:347.9 MB 
